Datum,Type,Aantal
2020-10-26,Ziekenhuisopname,
2020-10-26,Overleden,61.0
2020-10-27,Totaal,9088.0
2020-10-27,Ziekenhuisopname,
2020-10-27,Overleden,67.0
2020-10-28,Totaal,9406.0
2020-10-28,Ziekenhuisopname,
2020-10-28,Overleden,66.0
2020-10-29,Totaal,10348.0
2020-10-29,Ziekenhuisopname,
2020-10-29,Overleden,58.0
2020-10-30,Totaal,8823.0
2020-10-30,Ziekenhuisopname,
2020-10-30,Overleden,73.0
2020-10-31,Totaal,7722.0
2020-10-31,Ziekenhuisopname,
2020-10-31,Overleden,70.0
2020-11-01,Totaal,7472.0
2020-11-01,Ziekenhuisopname,
2020-11-01,Overleden,74.0
2020-11-02,Totaal,6906.0
2020-11-02,Ziekenhuisopname,
2020-11-02,Overleden,82.0
2020-11-03,Totaal,7862.0
2020-11-03,Ziekenhuisopname,
2020-11-03,Overleden,71.0
2020-11-04,Totaal,7160.0
2020-11-04,Ziekenhuisopname,
2020-11-04,Overleden,74.0
2020-11-05,Totaal,6704.0
2020-11-05,Ziekenhuisopname,
2020-11-05,Overleden,59.0
2020-11-06,Totaal,6067.0
2020-11-06,Ziekenhuisopname,
2020-11-06,Overleden,79.0
2020-11-07,Totaal,5185.0
2020-11-07,Ziekenhuisopname,
2020-11-07,Overleden,70.0
2020-11-08,Totaal,4413.0
2020-11-08,Ziekenhuisopname,
2020-11-08,Overleden,76.0
2020-11-09,Totaal,4803.0
2020-11-09,Ziekenhuisopname,
2020-11-09,Overleden,64.0
2020-11-10,Totaal,5749.0
2020-11-10,Ziekenhuisopname,
2020-11-10,Overleden,77.0
2020-11-11,Totaal,6161.0
2020-11-11,Ziekenhuisopname,
2020-11-11,Overleden,57.0
2020-11-12,Totaal,6169.0
2020-11-12,Ziekenhuisopname,
2020-11-12,Overleden,48.0
2020-11-13,Totaal,5611.0
2020-11-13,Ziekenhuisopname,
2020-11-13,Overleden,49.0
2020-11-14,Totaal,4955.0
2020-11-14,Ziekenhuisopname,
2020-11-14,Overleden,51.0
2020-11-15,Totaal,4165.0
2020-11-15,Ziekenhuisopname,
2020-11-15,Overleden,54.0
2020-11-16,Totaal,4702.0
2020-11-16,Ziekenhuisopname,
2020-11-16,Overleden,44.0
2020-11-17,Totaal,4738.0
2020-11-17,Ziekenhuisopname,
2020-11-17,Overleden,53.0
2020-11-18,Totaal,6135.0
2020-11-18,Ziekenhuisopname,
2020-11-18,Overleden,48.0
2020-11-19,Totaal,6054.0
2020-11-19,Ziekenhuisopname,
2020-11-19,Overleden,33.0
2020-11-20,Totaal,5649.0
2020-11-20,Ziekenhuisopname,
2020-11-20,Overleden,33.0
2020-11-21,Totaal,4996.0
2020-11-21,Ziekenhuisopname,
2020-11-21,Overleden,26.0
2020-11-22,Totaal,3824.0
2020-11-22,Ziekenhuisopname,
2020-11-22,Overleden,23.0
2020-11-23,Totaal,2598.0
2020-11-23,Ziekenhuisopname,
2020-11-23,Overleden,10.0
