Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
302;Nunspeet;27845;10-06-2020;23-06-2020;2;7,2;0;0;0;0
579;Oegstgeest;24843;10-06-2020;23-06-2020;3;12,1;0;0;0;0
823;Oirschot;18723;10-06-2020;23-06-2020;0;0;0;0;0;0
824;Oisterwijk;26241;10-06-2020;23-06-2020;2;7,6;0;0;0;0
1895;Oldambt;38213;10-06-2020;23-06-2020;0;0;0;0;0;0
269;Oldebroek;23645;10-06-2020;23-06-2020;4;16,9;0;0;0;0
173;Oldenzaal;31832;10-06-2020;23-06-2020;0;0;0;0;0;0
1773;Olst-Wijhe;18251;10-06-2020;23-06-2020;0;0;0;0;0;0
175;Ommen;18007;10-06-2020;23-06-2020;1;5,6;0;0;0;0
1586;Oost Gelre;29623;10-06-2020;23-06-2020;6;20,3;0;0;0;0
826;Oosterhout;55990;10-06-2020;23-06-2020;2;3,6;0;0;1;1,8
85;Ooststellingwerf;25472;10-06-2020;23-06-2020;0;0;0;0;0;0
431;Oostzaan;9733;10-06-2020;23-06-2020;0;0;0;0;0;0
432;Opmeer;11837;10-06-2020;23-06-2020;0;0;0;0;0;0
86;Opsterland;29742;10-06-2020;23-06-2020;0;0;0;0;0;0
828;Oss;91932;10-06-2020;23-06-2020;8;8,7;0;0;0;0
1509;Oude IJsselstreek;39392;10-06-2020;23-06-2020;0;0;0;0;0;0
437;Ouder-Amstel;14029;10-06-2020;23-06-2020;1;7,1;0;0;0;0
589;Oudewater;10226;10-06-2020;23-06-2020;0;0;0;0;0;0
1734;Overbetuwe;47909;10-06-2020;23-06-2020;5;10,4;0;0;0;0
590;Papendrecht;32133;10-06-2020;23-06-2020;4;12,4;0;0;0;0
1894;Peel en Maas;43420;10-06-2020;23-06-2020;3;6,9;0;0;0;0
765;Pekela;12199;10-06-2020;23-06-2020;0;0;0;0;0;0
1926;Pijnacker-Nootdorp;55329;10-06-2020;23-06-2020;3;5,4;0;0;0;0
439;Purmerend;81233;10-06-2020;23-06-2020;6;7,4;0;0;1;1,2
273;Putten;24113;10-06-2020;23-06-2020;2;8,3;0;0;0;0
177;Raalte;37709;10-06-2020;23-06-2020;4;10,6;0;0;0;0
703;Reimerswaal;22728;10-06-2020;23-06-2020;1;4,4;0;0;0;0
274;Renkum;31404;10-06-2020;23-06-2020;2;6,4;0;0;0;0
339;Renswoude;5448;10-06-2020;23-06-2020;0;0;0;0;0;0
1667;Reusel-De Mierden;13110;10-06-2020;23-06-2020;0;0;0;0;0;0
275;Rheden;43736;10-06-2020;23-06-2020;5;11,4;0;0;0;0
340;Rhenen;20125;10-06-2020;23-06-2020;0;0;0;0;0;0
597;Ridderkerk;46204;10-06-2020;23-06-2020;11;23,8;0;0;0;0
1742;Rijssen-Holten;38178;10-06-2020;23-06-2020;4;10,5;0;0;0;0
603;Rijswijk;54432;10-06-2020;23-06-2020;5;9,2;0;0;0;0
1669;Roerdalen;20572;10-06-2020;23-06-2020;0;0;0;0;0;0
957;Roermond;58254;10-06-2020;23-06-2020;0;0;0;0;0;0
1674;Roosendaal;77226;10-06-2020;23-06-2020;2;2,6;0;0;0;0
599;Rotterdam;651376;10-06-2020;23-06-2020;148;22,7;4;0,6;4;0,6
277;Rozendaal;1705;10-06-2020;23-06-2020;0;0;0;0;0;0
840;Rucphen;22873;10-06-2020;23-06-2020;1;4,4;0;0;0;0
518;s-Gravenhage;545163;10-06-2020;23-06-2020;139;25,5;3;0,6;3;0,6
441;Schagen;46482;10-06-2020;23-06-2020;0;0;0;0;0;0
279;Scherpenzeel;9880;10-06-2020;23-06-2020;0;0;0;0;0;0
606;Schiedam;78739;10-06-2020;23-06-2020;9;11,4;0;0;0;0
88;Schiermonnikoog;947;10-06-2020;23-06-2020;0;0;0;0;0;0
1676;Schouwen-Duiveland;33858;10-06-2020;23-06-2020;3;8,9;0;0;0;0
965;Simpelveld;10552;10-06-2020;23-06-2020;0;0;0;0;0;0
1702;Sint Anthonis;11672;10-06-2020;23-06-2020;3;25,7;0;0;0;0
845;Sint-Michielsgestel;29203;10-06-2020;23-06-2020;2;6,8;0;0;0;0
1883;Sittard-Geleen;92422;10-06-2020;23-06-2020;3;3,2;0;0;2;2,2
610;Sliedrecht;25217;10-06-2020;23-06-2020;3;11,9;0;0;0;0
1714;Sluis;23217;10-06-2020;23-06-2020;0;0;0;0;0;0
90;Smallingerland;56154;10-06-2020;23-06-2020;1;1,8;0;0;0;0
342;Soest;46607;10-06-2020;23-06-2020;5;10,7;0;0;0;0
847;Someren;19376;10-06-2020;23-06-2020;5;25,8;0;0;0;0
848;Son en Breugel;17321;10-06-2020;23-06-2020;0;0;0;0;0;0
37;Stadskanaal;31688;10-06-2020;23-06-2020;1;3,2;0;0;0;0
180;Staphorst;17144;10-06-2020;23-06-2020;0;0;0;0;0;0
532;Stede Broec;21734;10-06-2020;23-06-2020;1;4,6;0;0;0;0
851;Steenbergen;24501;10-06-2020;23-06-2020;0;0;0;0;0;0
1708;Steenwijkerland;44139;10-06-2020;23-06-2020;0;0;0;0;0;0
971;Stein;25000;10-06-2020;23-06-2020;1;4;0;0;0;0
1904;Stichtse Vecht;64928;10-06-2020;23-06-2020;3;4,6;0;0;0;0
1900;S̼dwest-Frysl̢n;89987;10-06-2020;23-06-2020;0;0;0;0;0;0
715;Terneuzen;54438;10-06-2020;23-06-2020;4;7,3;0;0;0;0
93;Terschelling;4889;10-06-2020;23-06-2020;0;0;0;0;0;0
448;Texel;13573;10-06-2020;23-06-2020;0;0;0;0;0;0
1525;Teylingen;37426;10-06-2020;23-06-2020;7;18,7;1;2,7;0;0
716;Tholen;25758;10-06-2020;23-06-2020;3;11,6;0;0;0;0
