Gemeentenaam,Gemeentecode,Provincienaam,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28
Brielle,501,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,5,10
Capelle aan den IJssel,502,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,7,13,23,26,31,41
Delft,503,Zuid-Holland,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,5,9,11,12,16,17,21,25,27,29
Dordrecht,505,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,8,11,12,13,17,23,26,28,32,36
Gorinchem,512,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,8,9,13,14
Gouda,513,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,7,9,10,12,15,16,17,18,25,31,35
's-Gravenhage,518,Zuid-Holland,0,0,0,0,0,0,0,0,2,2,2,2,3,7,7,8,9,10,14,17,21,27,36,44,47,53,63,81,103,124,161
Hardinxveld-Giessendam,523,Zuid-Holland,0,0,0,0,0,0,1,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7
Hellevoetsluis,530,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,5,5,5,7,10,15
Hendrik-Ido-Ambacht,531,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,5,5
Stede Broec,532,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,5,8,9,13,17,18,18
Hillegom,534,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,4
Katwijk,537,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,5,6,6,6,7,10,15,19
