Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-03-09,Westvoorne,614,Zuid-Holland,1
2020-03-09,Woerden,632,Utrecht,2
2020-03-09,West Maas en Waal,668,Gelderland,1
2020-03-09,Bergen op Zoom,748,Noord-Brabant,1
2020-03-09,Best,753,Noord-Brabant,2
2020-03-09,Boekel,755,Noord-Brabant,1
2020-03-09,Breda,758,Noord-Brabant,19
2020-03-09,Deurne,762,Noord-Brabant,1
2020-03-09,Dongen,766,Noord-Brabant,3
2020-03-09,Eindhoven,772,Noord-Brabant,7
2020-03-09,Etten-Leur,777,Noord-Brabant,1
2020-03-09,Goirle,785,Noord-Brabant,4
2020-03-09,Haaren,788,Noord-Brabant,2
2020-03-09,Helmond,794,Noord-Brabant,7
2020-03-09,'s-Hertogenbosch,796,Noord-Brabant,3
2020-03-09,Heusden,797,Noord-Brabant,1
2020-03-09,Loon op Zand,809,Noord-Brabant,7
2020-03-09,Oisterwijk,824,Noord-Brabant,3
2020-03-09,Oss,828,Noord-Brabant,1
2020-03-09,Sint-Michielsgestel,845,Noord-Brabant,5
2020-03-09,Waterland,852,Noord-Holland,1
2020-03-09,Tilburg,855,Noord-Brabant,27
2020-03-09,Uden,856,Noord-Brabant,12
2020-03-09,Veldhoven,861,Noord-Brabant,1
2020-03-09,Vught,865,Noord-Brabant,1
2020-03-09,Waalre,866,Noord-Brabant,1
2020-03-09,Waalwijk,867,Noord-Brabant,5
2020-03-09,Zundert,879,Noord-Brabant,1
2020-03-09,Maastricht,935,Limburg,6
2020-03-09,Roermond,957,Limburg,1
2020-03-09,Simpelveld,965,Limburg,2
2020-03-09,Venlo,983,Limburg,1
2020-03-09,Utrechtse Heuvelrug,1581,Utrecht,2
2020-03-09,Lansingerland,1621,Zuid-Holland,3
2020-03-09,Leudal,1640,Limburg,1
2020-03-09,Gemert-Bakel,1652,Noord-Brabant,1
2020-03-09,Schouwen-Duiveland,1676,Zeeland,1
2020-03-09,Landerd,1685,Noord-Brabant,2
2020-03-09,Lingewaard,1705,Gelderland,2
2020-03-09,Bernheze,1721,Noord-Brabant,2
2020-03-09,Neder-Betuwe,1740,Gelderland,1
2020-03-09,Dinkelland,1774,Overijssel,2
2020-03-09,Bronckhorst,1876,Gelderland,2
2020-03-09,Sittard-Geleen,1883,Limburg,8
2020-03-09,Stichtse Vecht,1904,Utrecht,5
2020-03-09,Leidschendam-Voorburg,1916,Zuid-Holland,1
2020-03-09,Pijnacker-Nootdorp,1926,Zuid-Holland,2
2020-03-09,Krimpenerwaard,1931,Zuid-Holland,1
2020-03-09,Gooise Meren,1942,Noord-Holland,2
2020-03-09,Meierijstad,1948,Noord-Brabant,10
2020-03-09,Beekdaelen,1954,Limburg,4
2020-03-09,Altena,1959,Noord-Brabant,4
2020-03-09,West Betuwe,1960,Gelderland,2
2020-03-09,Vijfheerenlanden,1961,Utrecht,1
2020-03-09,Hoeksche Waard,1963,Zuid-Holland,2
2020-03-10,,-1,,2
2020-03-10,Almere,34,Flevoland,1
2020-03-10,Zeewolde,50,Flevoland,1
2020-03-10,Opsterland,86,Friesland,2
2020-03-10,Coevorden,109,Drenthe,11
2020-03-10,Emmen,114,Drenthe,1
2020-03-10,Almelo,141,Overijssel,1
2020-03-10,Borne,147,Overijssel,3
2020-03-10,Hellendoorn,163,Overijssel,2
2020-03-10,Tubbergen,183,Overijssel,1
2020-03-10,Zwolle,193,Overijssel,1
2020-03-10,Arnhem,202,Gelderland,2
2020-03-10,Beuningen,209,Gelderland,3
2020-03-10,Culemborg,216,Gelderland,1
2020-03-10,Ermelo,233,Gelderland,1
2020-03-10,Maasdriel,263,Gelderland,1
2020-03-10,Nijmegen,268,Gelderland,3
2020-03-10,Renkum,274,Gelderland,5
2020-03-10,Rheden,275,Gelderland,1
2020-03-10,Tiel,281,Gelderland,1
2020-03-10,Voorst,285,Gelderland,1
2020-03-10,Wijchen,296,Gelderland,1
2020-03-10,Zaltbommel,297,Gelderland,1
2020-03-10,De Bilt,310,Utrecht,6
2020-03-10,Houten,321,Utrecht,13
2020-03-10,Soest,342,Utrecht,8
2020-03-10,Utrecht,344,Utrecht,14
2020-03-10,Wijk bij Duurstede,352,Utrecht,1
2020-03-10,IJsselstein,353,Utrecht,1
2020-03-10,Zeist,355,Utrecht,2
2020-03-10,Aalsmeer,358,Noord-Holland,2
2020-03-10,Alkmaar,361,Noord-Holland,1
2020-03-10,Amstelveen,362,Noord-Holland,2
2020-03-10,Amsterdam,363,Noord-Holland,8
2020-03-10,Beverwijk,375,Noord-Holland,4
2020-03-10,Blaricum,376,Noord-Holland,1
2020-03-10,Bloemendaal,377,Noord-Holland,1
2020-03-10,Diemen,384,Noord-Holland,2
2020-03-10,Haarlem,392,Noord-Holland,1
2020-03-10,Heemstede,397,Noord-Holland,1
2020-03-10,Huizen,406,Noord-Holland,1
2020-03-10,Schagen,441,Noord-Holland,1
2020-03-10,Zaanstad,479,Noord-Holland,2
2020-03-10,Alphen aan den Rijn,484,Zuid-Holland,1
2020-03-10,Delft,503,Zuid-Holland,1
2020-03-10,Gouda,513,Zuid-Holland,1
2020-03-10,'s-Gravenhage,518,Zuid-Holland,3
2020-03-10,Hardinxveld-Giessendam,523,Zuid-Holland,5
2020-03-10,Leiden,546,Zuid-Holland,1
2020-03-10,Noordwijk,575,Zuid-Holland,2
2020-03-10,Oegstgeest,579,Zuid-Holland,1
2020-03-10,Ridderkerk,597,Zuid-Holland,1
2020-03-10,Rotterdam,599,Zuid-Holland,15
