Datum,Provincienaam,Aantal
2020-05-09,Noord-Holland,6210
2020-05-09,Drenthe,493
2020-05-09,Noord-Brabant,8628
2020-05-09,Gelderland,5424
2020-05-09,Flevoland,818
2020-05-09,Groningen,347
2020-05-09,Overijssel,2863
2020-05-10,Limburg,4408
2020-05-10,Zeeland,622
2020-05-10,Noord-Brabant,8659
2020-05-10,Flevoland,833
2020-05-10,Zuid-Holland,8911
2020-05-10,Utrecht,3212
2020-05-10,Gelderland,5449
2020-05-10,Groningen,348
2020-05-10,Noord-Holland,6250
2020-05-10,Friesland,571
2020-05-10,Drenthe,494
2020-05-10,Overijssel,2870
2020-05-11,Limburg,4426
2020-05-11,Noord-Holland,6286
2020-05-11,Utrecht,3224
2020-05-11,Friesland,577
2020-05-11,Zeeland,624
2020-05-11,Noord-Brabant,8678
2020-05-11,Overijssel,2864
2020-05-11,Gelderland,5472
2020-05-11,Flevoland,834
2020-05-11,Zuid-Holland,8957
2020-05-11,Groningen,351
2020-05-11,Drenthe,495
2020-05-12,Overijssel,2876
2020-05-12,Noord-Brabant,8718
2020-05-12,Noord-Holland,6311
2020-05-12,Limburg,4434
2020-05-12,Utrecht,3234
2020-05-12,Zeeland,625
2020-05-12,Gelderland,5497
2020-05-12,Drenthe,496
2020-05-12,Friesland,583
2020-05-12,Zuid-Holland,9017
2020-05-12,Groningen,351
2020-05-12,Flevoland,842
2020-05-13,Zuid-Holland,9114
2020-05-13,Utrecht,3254
2020-05-13,Zeeland,626
2020-05-13,Noord-Holland,6343
2020-05-13,Overijssel,2889
2020-05-13,Noord-Brabant,8736
2020-05-13,Friesland,585
2020-05-13,Groningen,351
2020-05-13,Flevoland,845
2020-05-13,Drenthe,497
2020-05-13,Gelderland,5516
2020-05-13,Limburg,4455
2020-05-14,Utrecht,3274
