Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-04-19,453,Velsen,Noord-Holland,27,23
2020-04-19,457,Weesp,Noord-Holland,27,1
2020-04-19,473,Zandvoort,Noord-Holland,27,6
2020-04-19,479,Zaanstad,Noord-Holland,27,35
2020-04-19,482,Alblasserdam,Zuid-Holland,28,2
2020-04-19,484,Alphen aan den Rijn,Zuid-Holland,28,16
2020-04-19,489,Barendrecht,Zuid-Holland,28,5
2020-04-19,498,Drechterland,Noord-Holland,27,8
2020-04-19,501,Brielle,Zuid-Holland,28,0
2020-04-19,502,Capelle aan den IJssel,Zuid-Holland,28,30
2020-04-19,503,Delft,Zuid-Holland,28,7
2020-04-19,505,Dordrecht,Zuid-Holland,28,16
2020-04-19,512,Gorinchem,Zuid-Holland,28,11
2020-04-19,513,Gouda,Zuid-Holland,28,18
